District,Model,R2_Score,RMSE,MAE
GemeenteIzegem,Linear_Regression,-0.18335796208935662,162.59556735669634,68.21110943936992
GemeenteIzegem,Ridge_Regression,0.49920397738771793,105.77452133125209,43.97997653042079
GemeenteIzegem,Poisson_Regression,0.5086122797699077,104.77623360737623,43.48059277720586
GemeenteIzegem,Random_Forest,0.5092750614959505,104.7055488891055,43.24212148293107
GemeenteIzegem,Gradient_Boosting,0.5117251265738916,104.44383769965344,43.249781454578475
AWV414,Linear_Regression,0.06141858152615076,137.81197883163017,116.31668941034667
AWV414,Ridge_Regression,0.08869627902105881,135.79462012664587,114.90212797180475
AWV414,Poisson_Regression,0.08086807972678745,136.37661831084077,115.04931066480216
AWV414,Random_Forest,0.03252847063670472,139.9168726665237,117.58495848825451
AWV414,Gradient_Boosting,-0.006663190592015811,142.72271118522576,118.53464689203264
AWV121,Linear_Regression,-1.039222887174505,257.9162110411213,184.11986301369862
AWV121,Ridge_Regression,-1.039222887174505,257.9162110411213,184.11986301369862
AWV121,Poisson_Regression,-1.039222887174505,257.9162110411213,184.11986301369862
AWV121,Random_Forest,-1.039222887174505,257.9162110411213,184.11986301369862
AWV121,Gradient_Boosting,-1.039222887174505,257.9162110411213,184.11986301369862
AWV125,Linear_Regression,-3.1504276204536668,362.1863407929396,193.09437621420187
AWV125,Ridge_Regression,0.05788908196497833,172.5586219233182,131.169560714568
AWV125,Poisson_Regression,0.057672791237621035,172.57842887344808,131.1779171779563
AWV125,Random_Forest,0.04198661129099801,174.00888919601368,133.96482333389594
AWV125,Gradient_Boosting,0.014375540437702172,176.49864744823006,132.1010505441349
